codigo_pa;numero_pa;uf;municipio;longitude;latitude;altitude_(m);profundidade_superior;profundidade_inferior;simbolo_horizonte;codigo_horizonte;classe_solos_nivel_1
5287.0;Perfil 27;AM;Benjamin Constant;;;;33.0;61.0;CB;13626.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;24.0;33.0;Bi;13627.0;CAMBISSOLO
5287.0;Perfil 27;AM;Benjamin Constant;;;;10.0;20.0;BA;13628.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;0.0;9.0;A;13629.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;61.0;180.0;Cg;13630.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;41.0;61.0;BC;13631.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;24.0;41.0;Bi;13632.0;CAMBISSOLO
5288.0;Perfil 28;AM;Benjamin Constant;;;;9.0;24.0;AB;13633.0;CAMBISSOLO
5289.0;Perfil 29;AM;Benjamin Constant;;;;55.0;170.0;Cg;13634.0;CAMBISSOLO
5289.0;Perfil 29;AM;Benjamin Constant;;;;34.0;55.0;BC;13635.0;CAMBISSOLO
5289.0;Perfil 29;AM;Benjamin Constant;;;;19.0;34.0;Bi;13636.0;CAMBISSOLO
5289.0;Perfil 29;AM;Benjamin Constant;;;;8.0;19.0;AB;13637.0;CAMBISSOLO
5289.0;Perfil 29;AM;Benjamin Constant;;;;0.0;8.0;A;13638.0;CAMBISSOLO
5290.0;Perfil 30;AM;Benjamin Constant;;;;100.0;150.0;2Cg;13639.0;CAMBISSOLO
5290.0;Perfil 30;AM;Benjamin Constant;;;;63.0;100.0;2C;13640.0;CAMBISSOLO
5290.0;Perfil 30;AM;Benjamin Constant;;;;44.0;63.0;2Bi2;13641.0;CAMBISSOLO
5290.0;Perfil 30;AM;Benjamin Constant;;;;20.0;44.0;Bi1;13642.0;CAMBISSOLO
5290.0;Perfil 30;AM;Benjamin Constant;;;;8.0;20.0;AB;13643.0;CAMBISSOLO
5290.0;Perfil 30;AM;Benjamin Constant;;;;0.0;8.0;A;13644.0;CAMBISSOLO
5291.0;Perfil 22;AM;Benjamin Constant;;;;140.0;180.0;Crg;13645.0;CAMBISSOLO
5291.0;Perfil 22;AM;Benjamin Constant;;;;60.0;140.0;Cg;13646.0;CAMBISSOLO
5291.0;Perfil 22;AM;Benjamin Constant;;;;42.0;60.0;BC;13647.0;CAMBISSOLO
5291.0;Perfil 22;AM;Benjamin Constant;;;;28.0;42.0;Bi;13648.0;CAMBISSOLO
5291.0;Perfil 22;AM;Benjamin Constant;;;;13.0;28.0;BA;13649.0;CAMBISSOLO
5291.0;Perfil 22;AM;Benjamin Constant;;;;0.0;13.0;A;13650.0;CAMBISSOLO
5292.0;Perfil 23;AM;Benjamin Constant;;;;123.0;180.0;Cg2;13651.0;CAMBISSOLO
5292.0;Perfil 23;AM;Benjamin Constant;;;;60.0;123.0;Cg1;13652.0;CAMBISSOLO
5292.0;Perfil 23;AM;Benjamin Constant;;;;44.0;60.0;CB;13653.0;CAMBISSOLO
5292.0;Perfil 23;AM;Benjamin Constant;;;;23.0;44.0;Bi;13654.0;CAMBISSOLO
5292.0;Perfil 23;AM;Benjamin Constant;;;;12.0;23.0;AB;13655.0;CAMBISSOLO
5292.0;Perfil 23;AM;Benjamin Constant;;;;0.0;12.0;A;13656.0;CAMBISSOLO
5293.0;Perfil 24;AM;Benjamin Constant;;;;127.0;170.0;Cg4;13657.0;GLEISSOLO
5293.0;Perfil 24;AM;Benjamin Constant;;;;61.0;127.0;Cg3;13658.0;GLEISSOLO
5293.0;Perfil 24;AM;Benjamin Constant;;;;46.0;61.0;Cg2;13659.0;GLEISSOLO
5293.0;Perfil 24;AM;Benjamin Constant;;;;27.0;46.0;Cg1;13660.0;GLEISSOLO
5293.0;Perfil 24;AM;Benjamin Constant;;;;11.0;27.0;CA;13661.0;GLEISSOLO
5293.0;Perfil 24;AM;Benjamin Constant;;;;0.0;11.0;A;13662.0;GLEISSOLO
5294.0;Perfil 25;AM;Benjamin Constant;;;;40.0;170.0;Cg;13663.0;CAMBISSOLO
5294.0;Perfil 25;AM;Benjamin Constant;;;;20.0;40.0;Bi2;13664.0;CAMBISSOLO
5294.0;Perfil 25;AM;Benjamin Constant;;;;0.0;9.0;A;13665.0;CAMBISSOLO
5294.0;Perfil 25;AM;Benjamin Constant;;;;9.0;20.0;Bi1;13666.0;CAMBISSOLO
5295.0;Perfil 7;AM;Benjamin Constant;-69.01083333333334;-4.005833333333333;94.0;122.0;160.0;Crg;13667.0;ARGISSOLO
5295.0;Perfil 7;AM;Benjamin Constant;-69.01083333333334;-4.005833333333333;94.0;80.0;122.0;Cg2;13668.0;ARGISSOLO
5295.0;Perfil 7;AM;Benjamin Constant;-69.01083333333334;-4.005833333333333;94.0;35.0;80.0;Cg1;13669.0;ARGISSOLO
5295.0;Perfil 7;AM;Benjamin Constant;-69.01083333333334;-4.005833333333333;94.0;25.0;37.0;BC;13670.0;ARGISSOLO
5295.0;Perfil 7;AM;Benjamin Constant;-69.01083333333334;-4.005833333333333;94.0;10.0;25.0;Bt;13671.0;ARGISSOLO
5295.0;Perfil 7;AM;Benjamin Constant;-69.01083333333334;-4.005833333333333;94.0;0.0;10.0;Ap;13672.0;ARGISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;162.0;180.0;Cg3;13673.0;CAMBISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;140.0;162.0;Cg2;13674.0;CAMBISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;80.0;110.0;Cgc;13675.0;CAMBISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;37.0;80.0;Cg1;13676.0;CAMBISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;23.0;37.0;BC;13677.0;CAMBISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;7.0;23.0;Bi;13678.0;CAMBISSOLO
5296.0;Perfil 8;AM;Benjamin Constant;-69.01;-4.005833333333333;46.0;0.0;7.0;A;13679.0;CAMBISSOLO
5297.0;Perfil 9;AM;Benjamin Constant;-69.01;-4.005833333333333;85.0;119.0;160.0;C2;13680.0;CAMBISSOLO
5297.0;Perfil 9;AM;Benjamin Constant;-69.01;-4.005833333333333;85.0;59.0;119.0;C1;13681.0;CAMBISSOLO
5297.0;Perfil 9;AM;Benjamin Constant;-69.01;-4.005833333333333;85.0;38.0;59.0;BC;13682.0;CAMBISSOLO
5297.0;Perfil 9;AM;Benjamin Constant;-69.01;-4.005833333333333;85.0;22.0;38.0;Bi;13683.0;CAMBISSOLO
5297.0;Perfil 9;AM;Benjamin Constant;-69.01;-4.005833333333333;85.0;11.0;22.0;BA;13684.0;CAMBISSOLO
5297.0;Perfil 9;AM;Benjamin Constant;-69.01;-4.005833333333333;85.0;0.0;11.0;A;13685.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;146.0;180.0;Cg3;13686.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;94.0;146.0;Cg2;13687.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;60.0;94.0;Cg1;13688.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;44.0;60.0;C;13689.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;25.0;44.0;Bi2;13690.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;12.0;25.0;Bi1;13691.0;CAMBISSOLO
5298.0;Perfil 10;AM;Benjamin Constant;-69.00972222222222;-4.005833333333333;85.0;0.0;12.0;Ap;13692.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;155.0;180.0;2Cr3;13699.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;110.0;155.0;2Cr2;13700.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;109.0;155.0;Cr1;13701.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;60.0;118.0;C;13702.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;42.0;60.0;BC;13703.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;27.0;42.0;Bi;13704.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;9.0;27.0;AB;13705.0;CAMBISSOLO
5300.0;Perfil 11;AM;Benjamin Constant;-69.01;-4.005833333333333;106.0;0.0;9.0;Ap;13706.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;160.0;200.0;Cr2;13707.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;132.0;160.0;Cr1;13708.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;97.0;132.0;C2;13709.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;65.0;97.0;C1;13710.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;43.0;65.0;Bi2;13711.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;25.0;43.0;Bi1;13712.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;16.0;25.0;BA;13713.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;9.0;16.0;AB;13714.0;CAMBISSOLO
5301.0;Perfil 13;AM;Benjamin Constant;-69.01;-4.005833333333333;102.0;0.0;9.0;A;13715.0;CAMBISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;130.0;160.0;Cr;13716.0;ARGISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;80.0;130.0;Cg2;13717.0;ARGISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;57.0;80.0;Cg1;13718.0;ARGISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;37.0;57.0;BC;13719.0;ARGISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;18.0;37.0;Bt;13720.0;ARGISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;5.0;18.0;AB;13721.0;ARGISSOLO
5302.0;Perfil 14;AM;Benjamin Constant;-69.01;-4.005833333333333;99.0;0.0;5.0;Ap;13722.0;ARGISSOLO
